04:18:13  [main] 	Initializing Control Panel
04:18:13  [main] 	Windows Version:  Enterprise  64-bit
04:18:13  [main] 	XAMPP Version: 8.2.0
04:18:13  [main] 	Control Panel Version: 3.3.0  [ Compiled: Apr 6th 2021 ]
04:18:13  [main] 	You are not running with administrator rights! This will work for
04:18:13  [main] 	most application stuff but whenever you do something with services
04:18:13  [main] 	there will be a security dialogue or things will break! So think 
04:18:13  [main] 	about running this application with administrator rights!
04:18:13  [main] 	XAMPP Installation Directory: "d:\xampp\app\xampp\"
04:18:13  [main] 	Checking for prerequisites
04:18:14  [main] 	All prerequisites found
04:18:14  [main] 	Initializing Modules
04:18:14  [main] 	Starting Check-Timer
04:18:14  [main] 	Control Panel Ready
04:18:31  [main] 	Deinitializing Modules
04:18:31  [main] 	Deinitializing Control Panel

