09:37:11  [main] 	Initializing Control Panel
09:37:11  [main] 	Windows Version:  Enterprise  64-bit
09:37:11  [main] 	XAMPP Version: ???
09:37:11  [main] 	Control Panel Version: 3.3.0  [ Compiled: Apr 6th 2021 ]
09:37:11  [main] 	You are not running with administrator rights! This will work for
09:37:11  [main] 	most application stuff but whenever you do something with services
09:37:11  [main] 	there will be a security dialogue or things will break! So think 
09:37:11  [main] 	about running this application with administrator rights!
09:37:11  [main] 	XAMPP Installation Directory: "c:\அறி\xampp\ௐஅமபிபி\"
09:37:11  [main] 	Checking for prerequisites
09:37:11  [main] 	All prerequisites found
09:37:11  [main] 	Initializing Modules
09:37:11  [Apache] 	Problem detected!
09:37:11  [Apache] 	Port 80 in use by "Unable to open process" with PID 4!
09:37:11  [Apache] 	Apache WILL NOT start without the configured ports free!
09:37:11  [Apache] 	You need to uninstall/disable/reconfigure the blocking application
09:37:11  [Apache] 	or reconfigure Apache and the Control Panel to listen on a different port
09:37:11  [main] 	The FileZilla module is disabled
09:37:11  [main] 	The Mercury module is disabled
09:37:11  [Tomcat] 	Problem detected!
09:37:11  [Tomcat] 	Port 8005 in use by "Unable to open process"!
09:37:11  [Tomcat] 	Tomcat WILL NOT start without the configured ports free!
09:37:11  [Tomcat] 	You need to uninstall/disable/reconfigure the blocking application
09:37:11  [Tomcat] 	or reconfigure Tomcat and the Control Panel to listen on a different port
09:37:11  [main] 	Starting Check-Timer
09:37:11  [main] 	Control Panel Ready
09:37:48  [main] 	Deinitializing Modules
09:37:48  [main] 	Deinitializing Control Panel

